sentence,word_labels,rule_attribute,missing_words,attr_words
The Strike action for Stelco lasted 80 days,"O,B-ent,I-ent,O,O,B-attr,B-qty,I-qty",duration lasted,duration <EOS>,['lasted']
"A graduate of Indiana University , Tuck has 23 years of professional coaching experience","O,O,O,O,O,O,B-ent,O,B-qty,I-qty,O,B-attr,I-attr,I-attr",years of professional coaching experience, <EOS>,"['professional', 'coaching', 'experience']"
Mamala is 15 km away from the main city Ernakulam,"B-ent,O,B-qty,I-qty,B-attr,I-attr,I-attr,I-attr,I-attr,I-attr",distance from the main city of Ernakulam,distance of <EOS>,"['away', 'from', 'the', 'main', 'city', 'Ernakulam']"
", Hunzenschwil had an unemployment rate of 2.42 %","O,B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
"The major city of Messenia , Kalamata , is 10 km to the east","O,B-ent,I-ent,I-ent,I-ent,O,O,O,O,B-qty,I-qty,B-attr,I-attr,I-attr",distance to the east,distance <EOS>,"['to', 'the', 'east']"
The Tokugawa ( or Edo ) period brought 250 years of stability to Japan,"O,B-ent,O,I-ent,I-ent,O,I-ent,B-attr,B-qty,I-qty,B-attr,I-attr,O,O",duration of stability,duration <EOS>,"['brought', 'of', 'stability']"
", the median age for Indianapolis was 33.7 years","O,O,B-attr,I-attr,O,B-ent,O,B-qty,I-qty",median age, <EOS>,"['median', 'age']"
Indianapolis had the highest percentage of minority employees at 17 percent,"B-ent,O,O,B-attr,I-attr,O,O,O,O,B-qty,I-qty",highest percentage, <EOS>,"['highest', 'percentage']"
"Overall , Indianapolis hosted 13 ABA Finals games , more than any other city","O,O,B-ent,B-attr,B-qty,O,I-attr,B-attr,O,O,O,O,O,O",hosted finals games,finals <EOS>,"['hosted', 'Finals', 'games']"
St. Louis ' odds of making the playoffs stood at 1.3 %,"B-ent,I-ent,I-ent,I-ent,O,O,O,B-attr,I-attr,O,B-qty,I-qty",playoffs stood, <EOS>,"['playoffs', 'stood']"
St. Louis is about two hours away by car ; Springfield a little less,"B-ent,I-ent,O,O,B-qty,I-qty,O,B-attr,I-attr,O,O,O,O,O",duration by car,duration <EOS>,"['by', 'car']"
"The native of St. Louis , spent more than 40 years in organized baseball","O,O,O,B-ent,I-ent,O,B-attr,O,O,B-qty,I-qty,O,O,O",duration spent,duration <EOS>,['spent']
Albligen has an unemployment rate of 0.75 %,"B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
The altitude of Hairatan is 300 m,"O,B-attr,O,B-ent,O,B-qty,I-qty",altitude, <EOS>,['altitude']
Pripyatsky National Park covers 2 % of the territory of the region,"B-ent,I-ent,I-ent,B-attr,B-qty,I-qty,O,B-attr,I-attr,O,I-attr,O",covers  the territory, <EOS>,"['covers', 'the', 'territory', 'the']"
"Bellorchestia quoyana reaches lengths of 29 millimetres , with males being slightly larger than females","B-ent,I-ent,B-attr,I-attr,O,B-qty,I-qty,O,O,O,O,O,O,O,O",reaches lengths, <EOS>,"['reaches', 'lengths']"
Voter turnout in Bennelong was 95 %,"B-attr,I-attr,O,B-ent,O,B-qty,I-qty",voter turnout,voter <EOS>,"['Voter', 'turnout']"
The single barrack buster landed 40 yards short of the perimeter fence,"O,B-ent,I-ent,I-ent,B-attr,B-qty,I-qty,O,O,O,O,O",landed yards, <EOS>,['landed']
Regensdorf has an unemployment rate of 3.39 %,"B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
Freienstein-Teufen has an unemployment rate of 1.61 %,"O,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
Film 's lifetime collection at the Box Office India are ₹94.92 crore,"O,O,B-attr,I-attr,O,O,O,O,O,O,B-qty,O",lifetime collection, <EOS>,"['lifetime', 'collection']"
"Based in Ciudad Juárez , Oaxaca 's career spanned more than 67 years","O,O,O,O,O,O,O,B-attr,I-attr,O,O,B-qty,I-qty",career spanned, <EOS>,"['career', 'spanned']"
Ed Shuttlesworth rushed for 116 yards for Michigan,"B-ent,I-ent,B-attr,O,B-qty,I-qty,O,O",rushed yards, <EOS>,['rushed']
Patrasayer CD Block has an area of 322.62 km,"O,B-ent,I-ent,O,O,B-attr,O,B-qty,I-qty",area, <EOS>,['area']
Ohmstal has an unemployment rate of 0.68 %,"B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
The Sierra Aguilada is about 15 mi long,"B-ent,I-ent,I-ent,O,O,B-qty,I-qty,O",length,length <EOS>,[]
Creoch Loch is recorded as being just over 600 metres long,"B-ent,I-ent,O,B-attr,O,O,O,O,B-qty,I-qty,O",recorded length,length <EOS>,['recorded']
Remgro held 10 % and Richemont held 18.6 % of BAT before unbundling,"O,B-attr,O,B-qty,O,B-ent,B-attr,B-qty,I-qty,O,O,O,O",percentage,percentage <EOS>,"['held', 'held']"
BRM and Lotus used 2 litre engines for much of the season,"B-ent,I-ent,I-ent,B-attr,B-qty,I-qty,B-attr,O,O,O,O,O",engine capacity,engine capacity <EOS>,"['used', 'engines']"
The Badgers lost their 1 st game to 2014 LSU Tigers football team 28-24,"B-ent,I-ent,B-attr,O,B-qty,I-qty,B-attr,O,O,O,O,O,O,O",lost game number,number <EOS>,"['lost', 'game']"
"( The East Roman Empire held about 1,500,000 km² in round numbers )","O,O,B-ent,I-ent,I-ent,B-attr,O,B-qty,I-qty,O,O,O,O",area held,area <EOS>,['held']
"Ancient Roman bricks found in France measured 8 "" x 8 "" x 3 ""","B-ent,I-ent,I-ent,O,O,O,B-attr,B-qty,I-qty,O,I-qty,I-qty,O,O,I-qty",measured angle,angle <EOS>,['measured']
There were some iterative Roman conflicts with the Delmatae lasting for 160 years,"O,O,O,O,O,O,O,O,B-ent,B-attr,O,B-qty,I-qty",duration lasting,duration <EOS>,['lasting']
The famous pilgrim centre Sabarimala is 150 km from Kumily,"O,B-ent,I-ent,I-ent,O,O,B-qty,I-qty,B-attr,I-attr",distance from kumily,distance kumily <EOS>,"['from', 'Kumily']"
The world famous Sabarimala Ayyappan temple is only about 60 km from Uthimoodu Junction,"O,O,O,B-ent,I-ent,O,O,O,O,B-qty,I-qty,B-attr,I-attr,I-attr",distance from Uthimoodu Junction,distance <EOS>,"['from', 'Uthimoodu', 'Junction']"
Dartmoor Training Area have been used as military firing ranges for over 200 years,"O,O,O,O,O,O,O,B-ent,I-ent,B-attr,O,O,B-qty,I-qty",duration ranges,duration <EOS>,['ranges']
The nearest airport to Yawal is Jalgaon Airport which is just 45 km away,"O,B-attr,I-attr,O,O,O,B-ent,I-ent,O,O,O,B-qty,I-qty,O",distance to nearest airport,distance <EOS>,"['nearest', 'airport']"
"It lasted about five minutes , and the eruption column once again reached 24 kilometres","O,O,O,O,O,O,O,O,B-ent,I-ent,O,O,B-attr,B-qty,I-qty",distance reached,distance <EOS>,['reached']
", Leuk had an unemployment rate of 2.2 %","O,B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
Eslamshahr is only 12 kilometres away from the Iranian capital of Tehran,"B-ent,O,O,B-qty,I-qty,O,B-attr,I-attr,I-attr,I-attr,I-attr,I-attr",distance from the Iranian capital of Tehran,distance <EOS>,"['from', 'the', 'Iranian', 'capital', 'of', 'Tehran']"
The mine and associated smelting produce 1 % of the world 's copper,"O,O,O,O,B-ent,B-attr,B-qty,I-qty,O,O,B-attr,I-attr,I-attr",world's copper produce,world's <EOS>,"['produce', 'world', ""'s"", 'copper']"
", Matten bei Interlaken had an unemployment rate of 1.93 %","O,B-ent,I-ent,I-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
The current total capacity at Twin Groves Wind Farm is 398 megawatts,"O,B-attr,I-attr,I-attr,O,B-ent,I-ent,I-ent,I-ent,O,B-qty,I-qty",current total capacity, <EOS>,"['current', 'total', 'capacity']"
The Narmada River is about 50 km away,"O,B-ent,I-ent,O,O,B-qty,I-qty,O",distance,distance <EOS>,[]
The larger Narmada River is 12 km away,"O,B-ent,I-ent,I-ent,O,B-qty,I-qty,O",distance,distance <EOS>,[]
The larger Narmada River is 26 km away,"O,B-ent,I-ent,I-ent,O,B-qty,I-qty,O",distance,distance <EOS>,[]
A Quinametzin stands more than 10 feet tall and weighs about 650 pounds,"B-ent,I-ent,O,O,O,B-qty,I-qty,O,O,O,O,O,O",height,height <EOS>,[]
Dubrajpur CD Block has an area of 344.88 km,"O,O,B-ent,O,O,B-attr,O,B-qty,I-qty",area, <EOS>,['area']
"Vermilion Point produced 1,600 bushels of cranberries in 1897","B-ent,I-ent,B-attr,B-qty,I-qty,O,B-attr,O,O",produced cranberries, <EOS>,"['produced', 'cranberries']"
Incumbent president Viktor Yushchenko was defeated having received only 5.45 % of the vote,"O,O,B-ent,I-ent,O,O,O,B-attr,O,B-qty,I-qty,O,O,B-attr",received vote, <EOS>,"['received', 'vote']"
The cruciform tail unit was swept at 45°,"O,B-ent,I-ent,I-ent,O,B-attr,O,B-qty",angle swept,angle <EOS>,['swept']
CEO Kevin Tsujihara mandated the film to be under two hours,"B-ent,I-ent,I-ent,B-attr,O,I-attr,O,O,O,B-qty,I-qty",mandated film duration,duration <EOS>,"['mandated', 'film']"
Tyrone Area High School 's rate was 89.57 % for 2010,"B-ent,I-ent,I-ent,I-ent,O,B-attr,O,B-qty,I-qty,O,O",rate, <EOS>,['rate']
The trip to Gare de Strasbourg takes 7 to 12 minutes,"O,B-attr,B-qty,B-ent,I-ent,I-ent,B-attr,B-qty,I-qty,I-qty,I-qty",trip takes, <EOS>,"['trip', 'takes']"
The population of Suhl declined about 35 % since 1988,"O,B-attr,O,B-ent,B-attr,O,B-qty,I-qty,O,O",population declined, <EOS>,"['population', 'declined']"
Maalox Regular Strength chewable tablets contain 600 mg of calcium carbonate,"B-ent,I-ent,I-ent,I-ent,I-ent,B-attr,B-qty,I-qty,O,O,O",mass contain,mass <EOS>,['contain']
", Arbaz had an unemployment rate of 3.4 %","O,B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
St Neots is approximately 49 miles north of London,"B-ent,I-ent,O,O,B-qty,I-qty,B-attr,I-attr,I-attr",distance north of London,distance <EOS>,"['north', 'of', 'London']"
After 2 years the Telangana Praja Samiti was dissolved and its members rejoined the Congress,"O,B-qty,I-qty,O,B-ent,I-ent,O,O,B-attr,O,O,O,O,O,O",duration dissolved,duration <EOS>,['dissolved']
Römerswil has an unemployment rate of 0.48 %,"B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
"The lowest range is the Appenzell Alps culminating at 2,500 metres","O,B-attr,I-attr,O,O,B-ent,I-ent,B-attr,O,B-qty,I-qty",lowest range, <EOS>,"['lowest', 'range', 'culminating']"
The total sales of beer by Saku amounted to 59 million litres in 2007,"O,B-attr,I-attr,I-attr,I-attr,O,B-ent,B-attr,O,B-qty,I-qty,I-qty,O,O",total sales of beer amounted, <EOS>,"['total', 'sales', 'of', 'beer', 'amounted']"
At her death Elaine Hammerstein Kays was 51 years old and her husband was 66,"O,O,O,B-ent,I-ent,I-ent,O,B-qty,I-qty,O,O,O,O,O,O",age,age <EOS>,[]
"Conacher played three years of junior hockey , most notably with the Toronto Marlboros","B-ent,B-attr,B-qty,I-qty,O,B-attr,I-attr,O,O,O,O,O,O,O",played junior hockey, <EOS>,"['played', 'junior', 'hockey']"
Oudebaaskraal Dam has a length of 14.34 kilometres,"B-ent,I-ent,O,O,B-attr,O,B-qty,I-qty",length, <EOS>,['length']
Athens Area High School 's rate was 86 % for 2010,"B-ent,I-ent,I-ent,I-ent,O,B-attr,O,B-qty,I-qty,O,O",rate, <EOS>,['rate']
Mickie James has the shortest reign with 1 hour,"B-ent,I-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",shortest reign, <EOS>,"['shortest', 'reign']"
The L3 cache has a capacity of up to 2 MB,"B-ent,I-ent,I-ent,O,O,B-attr,O,O,O,B-qty,O",capacity, <EOS>,['capacity']
Irikkur is about 29 kilometers away from Kannur,"B-ent,O,O,B-qty,I-qty,O,B-attr,I-attr",distance from Kannur,distance <EOS>,"['from', 'Kannur']"
", Aranno had an unemployment rate of 1.92 %","O,B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
The Geissflue has an elevation of 962 metres above sea level,"B-ent,I-ent,O,O,B-attr,O,B-qty,I-qty,O,O,O",elevation, <EOS>,['elevation']
The shoot was scheduled for 16 days and Lambert worked for 10 days,"O,B-ent,O,B-attr,O,B-qty,I-qty,O,O,O,O,O,I-qty",duration scheduled,duration <EOS>,['scheduled']
", Semione had an unemployment rate of 1.96 %","O,B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
On the opposite side is Judas Iscariot clutching a purse with thirty pieces of silver,"O,O,O,O,O,B-ent,I-ent,B-attr,O,I-attr,O,B-qty,I-qty,O,B-attr",clutching purse silver, <EOS>,"['clutching', 'purse', 'silver']"
"In Umuahia , the average annual temperature is 26.0 °C","O,B-ent,O,O,B-attr,I-attr,I-attr,O,B-qty,O",average annual temperature, <EOS>,"['average', 'annual', 'temperature']"
"Umuahia , the state capital of Abia State , is just five kilometers from Umuokeh","B-ent,O,O,O,O,O,O,O,O,O,O,B-qty,I-qty,B-attr,I-attr",distance from Umuokeh,distance <EOS>,"['from', 'Umuokeh']"
Sailors of the Imperial German Navy served three years in active duty,"O,O,O,B-ent,I-ent,I-ent,B-attr,B-qty,I-qty,O,O,O",sailors served,sailors <EOS>,['served']
At that time Almaty accumulated about 600 tons of garbage per year,"O,O,O,B-ent,B-attr,O,B-qty,I-qty,O,B-attr,O,O",accumulated  garbage mass,mass <EOS>,"['accumulated', 'garbage']"
Shopify 's stock rose almost 10 % upon this announcement,"O,O,B-attr,I-attr,O,B-qty,I-qty,O,O,O",stock rose, <EOS>,"['stock', 'rose']"
The Central Bank of Libya owns 100 % of LFB,"B-ent,I-ent,I-ent,I-ent,I-ent,B-attr,B-qty,I-qty,O,O",LFB share,share <EOS>,['owns']
"Lake Pedder itself is 75 km from Hobart , Tasmania via the Gordon River Road","B-ent,I-ent,O,O,B-qty,I-qty,B-attr,I-attr,I-attr,I-attr,I-attr,I-attr,I-attr,I-attr,I-attr","distance from Hobart , Tasmania via the Gordon River Road",distance <EOS>,"['from', 'Hobart', ',', 'Tasmania', 'via', 'the', 'Gordon', 'River', 'Road']"
"The only candidate was Askar Akayev , who won 95.4 % of the vote","O,O,O,O,B-ent,I-ent,O,O,B-attr,B-qty,I-qty,O,O,B-attr",won vote percentage,percentage <EOS>,"['won', 'vote']"
""" Fantasy Westward Journey "" launched its first 3 D animation in 2015","O,O,B-ent,I-ent,O,B-attr,O,O,B-qty,O,B-attr,O,O",launched animation dimension,dimension <EOS>,"['launched', 'animation']"
The Fulbe make up an estimated 60 % of the Adamawa 's population,"O,B-ent,B-attr,O,O,O,B-qty,I-qty,O,O,O,O,B-attr",percentage of Adamawa's population,percentage Adamawa's <EOS>,"['make', 'population']"
"Sasolburg is 10 kilometers to the south , across the provincial boundary","B-ent,O,B-qty,I-qty,B-attr,I-attr,I-attr,I-attr,I-attr,I-attr,I-attr,I-attr","distance to the south , across the provincial boundary",distance <EOS>,"['to', 'the', 'south', ',', 'across', 'the', 'provincial', 'boundary']"
The initial annual output from the Sigma underground mine in Sasolburg was 2 million tons,"O,B-attr,I-attr,I-attr,O,O,B-ent,O,O,O,O,O,B-qty,I-qty,I-qty",initial annual output, <EOS>,"['initial', 'annual', 'output']"
Marco Mengoni is 188 cm tall,"B-ent,I-ent,O,B-qty,I-qty,O",height,height <EOS>,[]
"The Pulpit Commentary calls verses 8-17 "" a renewal of threatening ""","B-ent,I-ent,I-ent,B-attr,O,B-qty,I-qty,O,O,O,O,I-qty",calls, <EOS>,['calls']
Lestat describes himself as six feet tall,"B-ent,O,O,O,B-qty,I-qty,B-attr",height,height <EOS>,['tall']
Chennai Central railway station is 12 km away,"B-ent,I-ent,I-ent,I-ent,O,B-qty,I-qty,O",distance,distance <EOS>,[]
In return Morocco received 282 million Euro,"O,O,B-ent,B-attr,B-qty,I-qty,I-qty",amount received,amount <EOS>,['received']
Morocco is endowed with over 3000 km of coastline,"B-ent,O,B-attr,O,O,B-qty,I-qty,O,B-attr",coastline length,length <EOS>,"['endowed', 'coastline']"
Morocco possesses 75 percent of the world 's phosphate reserves,"B-ent,B-attr,B-qty,I-qty,O,B-attr,I-attr,I-attr,I-attr,I-attr",possesses the world 's phosphate reserves, <EOS>,"['possesses', 'the', 'world', ""'s"", 'phosphate', 'reserves']"
The share of Morocco fell to 3 %,"O,B-attr,O,B-ent,B-attr,O,B-qty,I-qty",share fell, <EOS>,"['share', 'fell']"
"This action came after Visteon shared dropped from 7 cents , to 2 cents","O,O,O,O,B-ent,O,B-attr,O,B-qty,I-qty,O,O,O,I-qty",amount dropped,amount <EOS>,['dropped']
Drew Brees passed for 187 yards and three touchdowns,"B-ent,I-ent,B-attr,O,B-qty,I-qty,O,O,O",passed yards, <EOS>,['passed']
Simatai Great Wall is 5.4 km long with 35 beacon towers,"B-ent,I-ent,I-ent,O,B-qty,I-qty,O,O,O,O,O",length,length <EOS>,[]
"The Balingian sub-district is measured as 3,032 km","O,B-ent,O,O,B-attr,O,B-qty,I-qty",length measured,length <EOS>,['measured']
"Waitara , New Zealand is about 9 km to the north - east","O,O,B-ent,I-ent,O,O,B-qty,I-qty,B-attr,I-attr,I-attr,I-attr,I-attr",distance to the north - east,distance <EOS>,"['to', 'the', 'north', '-', 'east']"
"Regional businesses account for 70 percent of GDP , with Bangkok contributing 30 percent","B-ent,I-ent,B-attr,O,B-qty,I-qty,I-attr,I-attr,O,O,O,O,O,O",percentage of GDP,percentage <EOS>,"['account', 'of', 'GDP']"
Mahanandi is about 21 km from Nandyal,"B-ent,O,O,B-qty,I-qty,B-attr,I-attr",distance from Nandyal,distance <EOS>,"['from', 'Nandyal']"
Dezocine has an intramuscular bioavailability of 97 %,"B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",intramuscular bioavailability, <EOS>,"['intramuscular', 'bioavailability']"
Gisikon has an unemployment rate of 1.65 %,"B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
""" La Collectionneuse "" currently holds a 90 % approval rating on Rotten Tomatoes","O,B-ent,I-ent,O,O,B-attr,O,B-qty,I-qty,B-attr,I-attr,O,O,O",holds approval rating, <EOS>,"['holds', 'approval', 'rating']"
"Hesse , North Rhine - Westphalia , Berlin had new builds with 760 mm","B-ent,O,I-ent,I-ent,O,I-ent,O,I-ent,O,B-attr,I-attr,O,B-qty,I-qty",new builds length,length <EOS>,"['new', 'builds']"
Esselunga controls about 9 % of the Italian grocery distribution market,"B-ent,B-attr,O,B-qty,I-qty,O,O,O,O,B-attr,I-attr",italian distribution market controls,italian <EOS>,"['controls', 'distribution', 'market']"
Non-Broadcastable 's production lasted two years,"B-ent,I-ent,I-ent,B-attr,B-qty,I-qty",duration lasted,duration <EOS>,['lasted']
The Muttahida Qaumi Movement announced three days of mourning,"B-ent,I-ent,I-ent,I-ent,B-attr,B-qty,I-qty,O,B-attr",mourning duration,duration <EOS>,"['announced', 'mourning']"
"Frazee 's marriage to Glenn Tryon lasted five years and produced one son , Timothy","O,O,B-attr,O,B-ent,I-ent,B-attr,B-qty,I-qty,O,O,O,O,O,O",marriage duration,duration <EOS>,"['marriage', 'lasted']"
"The distance between Domașnea and the county administrative center , Reșița , is 90 km","O,B-attr,O,B-ent,I-ent,I-ent,I-ent,O,O,O,O,O,O,B-qty,I-qty",distance, <EOS>,['distance']
", Avusy had an unemployment rate of 4 %","O,B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
Casibari formations are approached 3.2 km from the Highway 4A / B,"B-ent,I-ent,O,O,B-qty,I-qty,B-attr,I-attr,I-attr,I-attr,I-attr,I-attr",distance from the highway 4a / b,distance highway 4a b <EOS>,"['from', 'the', 'Highway', '4A', '/', 'B']"
""" Twice Through the Heart "" lasts for approximately 30 minutes","O,O,O,O,B-ent,O,B-attr,O,O,B-qty,I-qty",duration lasts,duration <EOS>,['lasts']
Tony K started rapping and producing at only 13 years old,"B-ent,I-ent,B-attr,I-attr,I-attr,I-attr,O,O,B-qty,I-qty,O",started rapping and producing, <EOS>,"['started', 'rapping', 'and', 'producing']"
Barkway has had a village church for over 1000 years,"B-ent,O,O,O,B-attr,I-attr,O,O,B-qty,I-qty",village church age,age <EOS>,"['village', 'church']"
Tectoy claimed 80 % of the Brazilian video game market,"B-ent,O,B-qty,I-qty,O,O,B-attr,I-attr,I-attr,I-attr",percentage of Brazilian video game market,percentage <EOS>,"['Brazilian', 'video', 'game', 'market']"
"The estimated size of "" Hadongsuchus "" was around 50 cm in length","O,O,B-attr,O,O,B-ent,O,O,O,B-qty,I-qty,O,O",size, <EOS>,['size']
", Corseaux had an unemployment rate of 3.3 %","O,B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
Erstfeld has an unemployment rate of 1.94 %,"B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
Khopoli Municipal council covers an area of 30 km,"B-ent,I-ent,I-ent,O,O,B-attr,O,B-qty,I-qty",area, <EOS>,['area']
The distance between bheliv and Khopoli is 30 km,"O,B-attr,O,O,O,B-ent,O,B-qty,I-qty",distance, <EOS>,['distance']
The atmosphere of Venus is 96.5 % carbon dioxide and 3.5 % nitrogen,"O,O,O,B-ent,O,B-qty,I-qty,B-attr,B-attr,O,O,O,O",percentage of carbon dioxide,percentage <EOS>,"['carbon', 'dioxide']"
"Using this convention , Venus is tilted 177° ( "" upside down "" )","O,O,O,O,B-ent,O,B-attr,B-qty,O,O,O,O,O,O",angle tilted,angle <EOS>,['tilted']
"This initially temporary job at "" Nature "" lasted for more than 20 years","O,O,B-attr,I-attr,I-attr,O,B-ent,O,B-attr,O,O,O,B-qty,I-qty",temporary job duration,duration <EOS>,"['temporary', 'job', 'at', 'lasted']"
", Willadingen had an unemployment rate of 1.1 %","O,B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
The total railways of Joypurhat are 38.86 km,"O,B-attr,I-attr,O,B-ent,O,B-qty,I-qty",total railways length,length <EOS>,"['total', 'railways']"
Antofagasta PLC owns the remaining 30 % minority stake,"B-ent,I-ent,O,O,O,B-qty,I-qty,B-attr,I-attr",minority stake share,share <EOS>,"['minority', 'stake']"
", Camorino had an unemployment rate of 4.7 %","O,B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
The Mysore Palace is lit up on all the 10 days of Dasara,"O,B-ent,I-ent,O,O,O,O,O,O,B-qty,I-qty,O,B-attr",duration of Dasara,duration <EOS>,['Dasara']
", Wattenwil had an unemployment rate of 1.35 %","O,B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
Laker Airways initially held a 33 % stake in International Caribbean,"B-ent,I-ent,O,B-attr,O,B-qty,I-qty,B-attr,O,O,O",held stake, <EOS>,"['held', 'stake']"
"The turn - off to Jiri is another 14 km away , on the right","O,B-attr,I-attr,I-attr,O,B-ent,O,O,B-qty,I-qty,O,O,O,O,O",turn - off distance,distance <EOS>,"['turn', '-', 'off']"
Laurence Owen was only 16 years old,"B-ent,I-ent,O,O,B-qty,I-qty,B-attr",age,age <EOS>,['old']
"The ginkgo of Chiba - dera is estimated to be 1,000 years old","O,O,O,B-ent,I-ent,I-ent,O,O,O,O,B-qty,I-qty,B-attr",age,age <EOS>,['old']
", Bavois had an unemployment rate of 3.7 %","O,B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
North America and South America represents 34 % of sales,"B-ent,I-ent,I-ent,I-ent,I-ent,B-attr,B-qty,I-qty,O,B-attr",represents sales, <EOS>,"['represents', 'sales']"
"South America 's total geographical area is 17,835,252 km²","B-ent,O,O,B-attr,I-attr,I-attr,O,B-qty,I-qty",total geographical area, <EOS>,"['total', 'geographical', 'area']"
"South America has an area of 17,840,000 square kilometers ( 6,890,000 sq mi )","B-ent,I-ent,O,O,B-attr,O,O,B-qty,I-qty,O,O,O,O,O",area, <EOS>,['area']
Lake Kampeska also has 15 miles of bike trails that parallel it,"B-ent,I-ent,O,O,B-qty,I-qty,O,B-attr,I-attr,O,I-attr,O",bike trails length,length <EOS>,"['bike', 'trails', 'parallel']"
Seismic tomography suggests that the Halmahera goes deeper to at least 400 km,"O,O,O,O,O,B-ent,O,B-attr,O,O,O,B-qty,I-qty",depth,depth <EOS>,['deeper']
", Bleiken bei Oberdiessbach had an unemployment rate of 0.51 %","O,O,B-ent,I-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
"Subaru built a new 250,000 square foot headquarters in Camden and relocated there in 2018","B-ent,O,O,O,B-qty,I-qty,I-qty,B-attr,I-attr,I-attr,O,O,O,O,O",area of headquarters in Camden,area of <EOS>,"['headquarters', 'in', 'Camden']"
Arkema has had a strong presence in China for over 13 years,"B-ent,O,O,O,O,B-attr,O,O,O,O,B-qty,I-qty",presence duration,duration <EOS>,['presence']
The Ofer family immigrated to Mandatory Palestine while Yuli was six months old,"O,O,O,O,O,O,O,O,B-ent,O,B-qty,I-qty,O",age,age <EOS>,[]
"Monster Energy Lo - Carb , with 20 calories , was suggested as a replacement","B-ent,I-ent,I-ent,O,I-ent,O,O,B-qty,I-qty,O,O,O,O,O,O",energy,energy <EOS>,[]
MyMaths is currently used in over 80 % of secondary schools in the UK,"B-ent,O,O,B-attr,O,O,B-qty,I-qty,O,B-attr,I-attr,O,O,O",percentage of secondary schools,percentage <EOS>,"['used', 'secondary', 'schools']"
"The Centennial Parklands , as it stands today , represents 190 years of colonial history","B-ent,I-ent,I-ent,O,O,O,O,O,O,B-attr,B-qty,I-qty,O,B-attr,I-attr",represents colonial history, <EOS>,"['represents', 'colonial', 'history']"
Dalian had about 1 % Christians in 2003,"B-ent,O,O,B-qty,I-qty,B-attr,O,O",percentage of Christians,percentage of <EOS>,['Christians']
The distance between Dalian and DDA is about 30 kilometers,"O,B-attr,O,B-ent,I-ent,I-ent,O,O,B-qty,I-qty",distance, <EOS>,['distance']
Median height of Porto Alegre 's hills is 147 meters ( 482.28 ft ),"B-attr,I-attr,O,B-ent,O,O,I-ent,O,B-qty,I-qty,O,O,O,O",median height,median <EOS>,"['Median', 'height']"
The population of Porto Alegre was 53.6 % female and 46.4 % male,"O,B-attr,O,B-ent,I-ent,O,B-qty,I-qty,B-attr,O,O,B-qty,O",female population, <EOS>,"['population', 'female']"
"The road distance to the State capital , Porto Alegre , is 405 km","O,B-attr,I-attr,O,B-ent,I-ent,I-ent,O,O,O,O,O,B-qty,I-qty",road distance, <EOS>,"['road', 'distance']"
The original journey via Tábor took over 12 hours to complete from Berlin to Vienna,"O,B-attr,I-attr,O,B-ent,B-attr,O,B-qty,I-qty,O,B-attr,O,O,O,O",original journey took complete, <EOS>,"['original', 'journey', 'took', 'complete']"
